Address,Rent,Beds,Baths,Type,Area_in_sqft,Rent_per_sqft,Rent_category,Frequency,Furnishing,Purpose,Posted_date,Age_of_listing_in_days,Location,City,Latitude,Longitude
"Cherrywoods, Dubailand, Dubai",200000,3,4.0,Townhouse,2232,89.61,High,Yearly,Unfurnished,For Rent,03-01-2024,109,Dubailand,Dubai,25.05865715,55.24599921
"DAMAC Heights, Dubai Marina, Dubai",360000,3,4.0,Apartment,1948,184.8,High,Yearly,Furnished,For Rent,03-01-2024,109,Dubai Marina,Dubai,25.0786415,55.1352524
123 Maple Street,1200,2,1.0,Apartment,800,1.5,Low,Monthly,Unfurnished,Residential,2023-10-15,5,Downtown,Springfield,39.7817,-89.6501
456 Oak Avenue,2500,3,2.0,House,1500,1.67,Medium,Monthly,Semi-furnished,Residential,2023-09-25,25,Suburban,Metropolis,40.7128,-74.006
789 Pine Lane,1800,2,1.5,Apartment,1000,1.8,Medium,Monthly,Furnished,Residential,2023-10-05,15,Uptown,Gotham,34.0522,-118.2437
1010 Birch Blvd,3200,4,3.0,House,2100,1.52,High,Monthly,Unfurnished,Residential,2023-09-30,20,Countryside,Star City,37.7749,-122.4194
202 Cedar Street,950,1,1.0,Studio,500,1.9,Low,Monthly,Furnished,Residential,2023-10-10,10,Midtown,Central City,41.8781,-87.6298
303 Elm Drive,1500,2,1.0,Apartment,900,1.67,Medium,Monthly,Semi-furnished,Residential,2023-10-01,19,Residential,Smallville,38.627,-90.1994
404 Willow Way,2800,3,2.0,House,1600,1.75,High,Monthly,Furnished,Residential,2023-09-20,30,Seaside,Oceanview,36.7783,-119.4179
505 Poplar Court,1100,2,1.0,Apartment,750,1.47,Low,Monthly,Unfurnished,Residential,2023-10-12,8,Downtown,Riverdale,34.7465,-92.2896
606 Fir Terrace,2600,4,2.5,House,1700,1.53,High,Monthly,Semi-furnished,Residential,2023-10-03,17,Countryside,Hill Valley,40.4406,-79.9959
707 Spruce Street,1000,1,1.0,Studio,600,1.67,Low,Monthly,Furnished,Residential,2023-10-14,6,Urban,Mystic Falls,35.2271,-80.8431
808 Walnut Avenue,1450,2,1.5,Apartment,950,1.53,Medium,Monthly,Unfurnished,Residential,2023-09-28,22,Downtown,Sunnydale,39.9526,-75.1652
909 Ash Lane,3000,3,2.5,House,1800,1.67,High,Monthly,Furnished,Residential,2023-09-18,32,Suburban,Emerald City,29.7604,-95.3698
101 Cedar Hill,1300,2,1.0,Apartment,850,1.53,Medium,Monthly,Semi-furnished,Residential,2023-10-08,12,Urban,Atlantis,25.7617,-80.1918
111 Pinecrest Lane,2300,3,2.0,House,1400,1.64,Medium,Monthly,Unfurnished,Residential,2023-09-15,35,Suburban,Elmsville,32.7767,-96.797
121 Maplewood Drive,900,1,1.0,Studio,450,2.0,Low,Monthly,Furnished,Residential,2023-10-09,11,Downtown,Bayside,33.4484,-112.074
131 Forest Avenue,2700,4,3.0,House,2000,1.35,High,Monthly,Semi-furnished,Residential,2023-09-22,28,Countryside,River City,39.7392,-104.9903
141 Lakeview Circle,1700,2,1.5,Apartment,950,1.79,Medium,Monthly,Unfurnished,Residential,2023-10-02,18,Midtown,Capeside,47.6062,-122.3321
151 Ocean Drive,3500,3,2.0,Penthouse,2200,1.59,High,Monthly,Furnished,Residential,2023-09-29,21,Seaside,Newport,26.1224,-80.1373
161 Mountain Road,950,1,1.0,Studio,550,1.73,Low,Monthly,Semi-furnished,Residential,2023-10-13,7,Suburban,Harmony,42.3601,-71.0589
171 Sunshine Blvd,2900,3,2.5,House,1900,1.53,High,Monthly,Unfurnished,Residential,2023-09-24,26,Urban,Pleasantville,29.9511,-90.0715
181 River Road,1400,2,1.0,Apartment,850,1.65,Medium,Monthly,Furnished,Residential,2023-10-07,13,Riverside,Shady Pines,39.2904,-76.6122
