Address,Rent,Beds,Baths,Type,Area_in_sqft,Rent_per_sqft,Rent_category,Frequency,Furnishing,Purpose,Posted_date,Age_of_listing_in_days,Location,City,Latitude,Longitude,vacant_days,total_units,vacant_units,source,complaint,complaint_count
"Binghatti Heights, JVC District 10, Jumeirah Village Circle (JVC), Dubai",125000,2,2,Apartment,1145,109.1703057,Medium,Yearly,Unfurnished,For Rent,01-01-2025,66,Jumeirah Village Circle (JVC),Dubai,25.0559446,55.20746503,2,20,5,Property Finder,,
"Marina Residences 1, Marina Residences, Palm Jumeirah, Dubai",900000,4,7,Penthouse,10254,87.7706261,High,Yearly,Unfurnished,For Rent,01-01-2025,32,Palm Jumeirah,Dubai,25.1180879,55.1342009,3,30,6,Premium Listings,,
"Elite Sports Residence 10 Block A, Elite Sports Residence 10, Elite Sports Residence, Dubai Sports City, Dubai",45000,1,2,Apartment,410,109.7560976,Low,Yearly,Furnished,For Rent,01-01-2025,106,Dubai Sports City,Dubai,25.0321379,55.219353,4,40,7,Corporate Partners,,
"Corniche Deira, Deira, Dubai",330000,3,2,Penthouse,1991,165.7458564,High,Yearly,Furnished,For Rent,01-01-2025,163,Deira,Dubai,25.2727936,55.305334,5,10,8,Dubizzle,,
"Maple 1, Emirates Gardens 2, JVC District 14, Jumeirah Village Circle (JVC), Dubai",45000,1,2,Apartment,538,83.64312268,Low,Yearly,Unfurnished,For Rent,01-01-2025,106,Jumeirah Village Circle (JVC),Dubai,25.0559446,55.20746503,6,30,9,Property Finder,maintenance issues,2
"Seven Palm, Palm Jumeirah, Dubai",85000,1,2,Apartment,315,269.8412698,Medium,Yearly,Furnished,For Rent,01-01-2025,106,Palm Jumeirah,Dubai,25.1180879,55.1342009,7,20,10,Premium Listings,plumbine issue,1
"Elite Residence, Dubai Marina, Dubai",375000,4,2,Penthouse,3212,116.7496887,High,Yearly,Unfurnished,For Rent,01-01-2025,200,Dubai Marina,Dubai,25.0786415,55.1352524,8,30,11,Corporate Partners,,
"Breeze 3, Breeze at Creek Beach, Dubai Creek Harbour, Dubai",320000,4,2,Penthouse,2183,146.5872652,High,Yearly,Unfurnished,For Rent,01-01-2025,130,Dubai Creek Harbour,Dubai,25.197978,55.36037961,9,40,12,Dubizzle,,
"Manchester Tower, Dubai Marina, Dubai",174900,3,2,Apartment,1391,125.7368799,High,Yearly,Furnished,For Rent,01-01-2025,106,Dubai Marina,Dubai,25.0786415,55.1352524,10,10,5,Property Finder,Electrical,3
"Marina Pinnacle, Dubai Marina, Dubai",100000,1,2,Apartment,829,120.6272618,Medium,Yearly,Furnished,For Rent,01-01-2025,106,Dubai Marina,Dubai,25.0786415,55.1352524,11,30,6,Premium Listings,,
"Legacy, Jumeirah Park, Dubai",320000,4,2,Villa,5542,57.74088777,High,Yearly,Unfurnished,For Rent,01-01-2025,106,Jumeirah Park,Dubai,25.0469412,55.15481776,12,20,7,Corporate Partners,Electrical,2
"Harrington House, JVC District 14, Jumeirah Village Circle (JVC), Dubai",63999,0,2,Apartment,384,166.6640625,Low,Yearly,Furnished,For Rent,01-01-2025,106,Jumeirah Village Circle (JVC),Dubai,25.0559446,55.20746503,13,30,8,Dubizzle,,
"Jumeirah Gate Tower 1, The Address Residences Jumeirah Resort and Spa, Jumeirah Beach Residence (JBR), Dubai",350000,2,2,Apartment,1161,301.464255,High,Yearly,Furnished,For Rent,01-01-2025,106,Jumeirah Beach Residence (JBR),Dubai,25.0778021,55.13518095,14,40,9,Property Finder,,
"Jash Falqa, Shoreline Apartments, Palm Jumeirah, Dubai",290000,3,2,Apartment,2155,134.5707657,High,Yearly,Unfurnished,For Rent,01-01-2025,106,Palm Jumeirah,Dubai,25.10019025,55.118535,15,10,10,Premium Listings,,
"The Address The Blvd, Downtown Dubai, Dubai",240000,1,2,Apartment,847,283.3530106,High,Yearly,Furnished,For Rent,01-01-2025,106,Downtown Dubai,Dubai,25.18668425,55.27470526,16,30,11,Corporate Partners,,
"Binghatti Rose, JVC District 15, Jumeirah Village Circle (JVC), Dubai",85000,2,2,Apartment,1010,84.15841584,Medium,Yearly,Unfurnished,For Rent,01-01-2025,106,Jumeirah Village Circle (JVC),Dubai,25.0559446,55.20746503,17,20,12,Dubizzle,,
"Binghatti Luna, JVC District 12, Jumeirah Village Circle (JVC), Dubai",75000,1,2,Apartment,881,85.13053348,Medium,Yearly,Unfurnished,For Rent,01-01-2025,106,Jumeirah Village Circle (JVC),Dubai,25.0559446,55.20746503,18,30,5,Property Finder,,
"Ivory Grand Hotel Apartments, Al Barsha 1, Al Barsha, Dubai",100000,2,2,Apartment,1292,77.3993808,Medium,Yearly,Furnished,For Rent,01-01-2025,110,Al Barsha,Dubai,25.096326,55.1984022,19,40,6,Premium Listings,,
"Bloom Tower B, Bloom Towers, JVC District 10, Jumeirah Village Circle (JVC), Dubai",75000,1,2,Apartment,780,96.15384615,Medium,Yearly,Unfurnished,For Rent,01-01-2025,106,Jumeirah Village Circle (JVC),Dubai,25.0559446,55.20746503,20,10,7,Corporate Partners,,
"Burj Sabah, JVC District 12, Jumeirah Village Circle (JVC), Dubai",110000,2,2,Apartment,1200,91.66666667,Medium,Yearly,Furnished,For Rent,01-01-2025,106,Jumeirah Village Circle (JVC),Dubai,25.0559446,55.20746503,21,30,8,Corporate Partners,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
